title,genre,director,country,year
За нас с вами,драма,Андрей Смирнов," ,Россия",2023
Заклятие. Зло внутри,фильм ужасов о сверхъестественном,Бишал Дутта," ,США",2023
Запретная страсть,драма,Катрин Брейя,Франция,2023
Женщина с…,драматический фильм,"Малгожата Шумовская,Михал Энглерт,[d]"," ,Польша, ,Швеция",2023
Ещё одна настоящая любовь,мелодрама,Энди Фикмен," ,США",2023
Жанна Дюбарри,"исторический фильм,[5],биографический фильм,драматический фильм,[5]","Майвенн,[5]"," ,Франция,[5], ,Великобритания, ,Бельгия",2023
"Дрозд, дрозд, ежевика",драматический фильм,"Элене Навериани,[2],[3]"," ,Швейцария,[3],[2], ,Грузия,[2],[3]",2023
Звук свободы,боевик,"Алехандро Гомес Монтеверде,[en]"," ,США",2023
Ёлки 10,комедия,"Александра Лупашко,Сергей Наумов"," ,Россия",2023
Дочь болотного короля,"психологический фильм-триллер,[d]",Нил Бёргер," ,США","6 октября, ,2023,2 ноября, ,2023,[2]"
Дыхание,драма,Роман Каримов," ,Россия",
Дурные деньги,комедийная драма,Крейг Гиллеспи," ,США",2023
Домашняя вечеринка,комедия,"Calmatic,[en]"," ,США",2023
Дорога отчаяния,боевик,Надин Крокер," ,США",2023
Дочери Ольфы,документальный фильм,Каутер Бен Ханья,Тунис,2023
Догмен,"драматический фильм,[1],боевик,[1],фильм-триллер,[1]","Люк Бессон,[1]"," ,Франция,[1], ,США,[1]","27 сентября, ,2023,[1],19 октября, ,2023,[2]"
Доктор Чхон и потерянный талисман,"мистика,, ,триллер",Ким Сонсик," ,Республика Корея",2023
Дом у дороги,"боевик,драматический фильм",Даг Лайман," ,США",2023
Доктор,драматический фильм,Артём Темников," ,Россия",2023
До конца ночи,криминальный фильм,Кристоф Хоххеуслер," ,Германия",2023
Долгожданный рассвет,Драма,"Саверио Костанцо,[d]"," ,Италия",2023
Довбуш,"исторический фильм,приключенческий фильм,биографический фильм,драматический фильм,боевик",Олесь Александрович Санин," ,Украина","19 августа, ,2023,[1],24 августа, ,2023,[1],[2]"
Дикая кошка,,Итан Хоук," ,США",2023
Джон Уик 4,"неонуарный, ,остросюжетный боевик",Чад Стахелски," ,США",2023
Джестер,ужасы,Колин Кравчук," ,США",2023
День благодарения,слэшер,Элай Рот," ,США","30 ноября, ,2023,[1],17 ноября, ,2023,[2],1 декабря, ,2023"
Девушка-гонзо,драма,Патрисия Аркетт," ,США",2023
Дворец,комедийная драма,Роман Полански," ,Италия, ,Франция, ,Польша, ,Швейцария",2023
Стальная хватка,"драматический фильм,биографический фильм,спортивный фильм",Шон Дуркин," ,США, ,Великобритания","2023,21 марта, ,2024,[5]"
Детектив Найт: Независимость,"боевик,триллер,криминал",Эдвард Дрейк," ,США",2023
Спящие псы,триллер,," ,Австралия","22 марта, ,2024"
Дети шпионов: Армагеддон,"шпионский, ,комедийный боевик",Роберт Родригес," ,США",2023
Соник 3 в кино,,Джефф Фаулер," ,США, ,Япония",
Сорока,фильм ужасов,"Дин Пакетт,[d]"," ,Великобритания",
Слухи,"чёрная комедия,[d]","Гай Мэддин,Galen Johnson,[d],Evan Johnson,[d]"," ,Германия, ,Канада",
Смертельное оружие: Смертельный финал,,Мел Гибсон," ,США",
Солнечный берег,,," ,США",2024
Смерч 2,фильм-катастрофа,Ли Айзек Чун," ,США",2024
Серфер,психологический триллер,"Лоркан Финнеган,[d]"," ,Австралия, ,Ирландия",
Самая большая луна,фэнтези,Алексей Попогребский," ,Россия",2024
Разрушение,"боевик,фильм-триллер",Гарет Эванс," ,США, ,Великобритания",2024
Пчеловод,"боевик, , ,триллер",Дэвид Эйер," ,США",2024
Рассвет,фильм ужасов,"Эндрю Бэйрд,[d]"," ,США, ,Великобритания",2024
Саваны,"фильм ужасов,, ,триллер",Дэвид Кроненберг," ,Франция, ,Канада",2024
Рецепт любви,"романтический фильм,[1]","Чан, Ань Хунг,[2]"," ,Франция,[2]","24 мая, ,2023,[1],8 ноября, ,2023,[2],18 января, ,2024,[3]"
Реальная история Уиннер,биографический фильм,Сюзанна Фогель," ,Канада, ,США",2024
Противостояние,"драма,, ,военный фильм,, ,криминальный фильм,, ,детективный фильм",Тимур Алпатов," ,Россия",2024
Путешествие в Индию:,"фэнтези,приключения,триллер",Олег Степченко," ,Россия, ,Индия, ,Китай",2024
Проклятые воды,"фильм ужасов,[1],[2],[…],триллер,[1],[2],[…],кинофантастика,[1],фильм ужасов о сверхъестественном",Брайс Макгуайр," ,США",2024
Присяжный № 2,триллер,Клинт Иствуд," ,США",2024
Присутствие,психологический триллер,Стивен Содерберг," ,США","19 января, ,2024"
Полицейский из Беверли-Хиллз: Аксель Фоули,,Марк Моллой," ,США",2024
Претенденты,"комедийная драма,спортивный фильм,романтический фильм",Лука Гуаданьино," ,США","26 апреля, ,2024,[1]"
Пила 11,фильм ужасов,," ,США",2024
Планета обезьян: Новое царство,,Уэс Болл," ,США",2024
Плохие парни 4,"боевик,,,комедия,,,триллер,,,криминальный фильм,,,приключения","Адиль Эль Арби,Билал Фалла"," ,США",2024
Питер Пэн: Кошмар в Нетландии,фильм ужасов,Скотт Джеффри," ,Великобритания",2024
Пиноккио: Развязный,слэшер,," ,Великобритания",2024
Парень-каратист,фильм о боевых искусствах,Джонатан Энтвистл," ,США",2024
Первый Омен,"фильм ужасов,мистика","Arkasha Stevenson,[d]"," ,США",2024
Пальма 2,"cемейный,приключения,драма",Александр Домогаров (младший)," ,Россия",
Падение империи,"боевик,драматический фильм",Алекс Гарленд," ,США","24 апреля, ,2024,26 апреля, ,2024"
Охотники за привидениями: Леденящий ужас,"комедия,научное фэнтези",Гил Кинан," ,США",2024
Предчувствие,"научная фантастика,драматический фильм",Бертран Бонелло," ,Франция","3 сентября, ,2023,2024"
Онегин,мелодрама,Сарик Андреасян," ,Россия",2024
Паддингтон в Перу,комедийный фильм,"Dougal Wilson,[d]"," ,Великобритания",2024
"От Хильды, с любовью",,Андреас Дрезен," ,Германия",2024
Охота на воров 2: Пантера,,"Кристиан Гьюдгэст,[d]"," ,США",2024
Орден,"криминальный боевик,, ,триллер",Джастин Курзель," ,США",2024
Одна жизнь,"биографический фильм,драматический фильм","Джеймс Хоуз,[d]"," ,Великобритания","2023,15 февраля, ,2024,[3]"
Одиннадцать друзей Оушена,"фильм-ограбление,, ,комедия,, ,криминал",Джей Роуч," ,США",2024
Носферату,фильм ужасов,Роберт Эггерс," ,США",2024
Незнакомцы: Часть первая,слэшер,Ренни Харлин," ,США","17 мая, ,2024,[1]"
Невероятное паломничество Гарольда Фрая,"драматический фильм,[1],экранизация романа,[d]","Хетти Макдональд,[d],[1]"," ,Великобритания,[1]","31 мая, ,2023,[1],4 января, ,2024,[2]"
Настоящая боль,,Джесси Айзенберг," ,США, ,Польша",2024
Наблюдатели,фильм ужасов о сверхъестественном,Ишана Найт Шьямалан," ,США","7 июля, ,2024"
Мышеловка Микки,слэшер,Джейми Бейли," ,Канада",2024
Мятежная луна: Дарующая шрамы,фантастика,Зак Снайдер," ,США",2024
Мы,"фантастика,, ,драма",Гамлет Дульян," ,Россия",2024
Наш человек из Джерси,шпионский фильм,Джулиан Фарино," ,США",
Не говори никому,,Джеймс Уоткинс," ,США",2024
"Москва, которую мы потеряли",документальный фильм,Николай Петров," ,Россия",
Дальний,"научно-фантастический фильм,комедийная драма,комедийный фильм","Уилл Спек,[d],Джош Гордон,[d]"," ,США",2023
Грипп богатых,триллер,Гальдер Гастелу-Уррутия," ,США, ,Колумбия",2023
Дайана Найэд,"спортивный биографический фильм,[d]","Элизабет Чай Васархели,[d],Джимми Чин"," ,США",2023
Мудрые парни,"биографический фильм,гангстерский фильм",Барри Левинсон," ,США","13 ноября, ,2024,[1],[2],14 ноября, ,2024,[1],15 ноября, ,2024,[1]"
Гран Туризмо,"спортивная, ,драма",Нил Бломкамп,,
Гром: Трудное детство,,Олег Трофим," ,Россия",2023
Граф,"комедийный фильм,[1]",Пабло Ларраин," ,Чили",2023
Гонщики на драйве,"комедийный фильм,боевик",Тиль Швайгер," ,Германия",2023
Голодные игры: Баллада о змеях и певчих птицах,"антиутопический, ,научно-фантастический, ,боевик",Фрэнсис Лоуренс," ,США",2023
Город астероидов,"комедия, драма, романтический фильм,[1]",Уэс Андерсон," ,США",2023
Год рождения,"фэнтези,романтический фильм,драматический фильм",Михаил Местецкий," ,Россия",2023
Герой наших снов,"комедия,ужасы","Кристоффер Боргли,[d],[1]"," ,США",2023
Гипнотик,"научная фантастика,триллер",Роберт Родригес," ,США",2023
Где Анна Франк?,,Ари Фольман," ,Бельгия, ,Франция, ,Люксембург, ,Нидерланды, ,Израиль","9 июля, ,2021,[2],24 августа, ,2021,[2],14 сентября, ,2021,[2],8 декабря, ,2021,[2],21 апреля, ,2022,[3],23 февраля, ,2023,[4]"
Вызов,драма,Клим Шипенко," ,Россия",2023
Гардемарины 1787. Война,"приключения, исторический фильм, мелодрама",Светлана Дружинина," ,Россия",2023
Говорят женщины,"драматический фильм,экранизация книги,[d]",Сара Полли," ,США","2 сентября, ,2022,[2],23 декабря, ,2022,[2],6 января, ,2023,[2],20 января, ,2023,[2],26 января, ,2023,[2],10 февраля, ,2023,[2]"
Вы когда-нибудь боялись?,фильм ужасов,"Амбра Принчипато,[1]"," ,Италия",
Вся красота и кровопролитие,"документальный фильм,[1],биографический фильм","Лора Пойтрас,[1]"," ,США,[1]","3 сентября, ,2022,15 марта, ,2023,[1],25 мая, ,2023"
Время Армагеддона,"драматический фильм,[2],[4],[…]",Джеймс Грэй," ,США","19 мая, ,2022,[1],9 ноября, ,2022,[2],24 ноября, ,2022,2 марта, ,2023,[3]"
Все страхи Бо,"комедия,драма",Ари Астер," ,США, ,Канада, , ,Финляндия",2023
Восстание зловещих мертвецов,фильм ужасов о сверхъестественном,Ли Кронин," ,США",
Воскресенье,драма,Шокир Холиков," ,Узбекистан",2023
Вонка,"мюзикл,фэнтези",Пол Кинг," ,США, ,Великобритания",2023
Воздух,"драма,, ,военный",Алексей Герман мл.," ,Россия",2023
Возрождённые,фантастический триллер,Егор Баранов," ,США",
Возвращение,"исторический фильм,драматический фильм",Уберто Пазолини," ,Великобритания",2023
Военный трибунал по делу о мятеже на «Кейне»,"драматический фильм,, ,военный фильм, и ,процессуальная драма",Уильям Фридкин," ,США",
Вира Симха Редди,"боевик,саундтрек к фильму",Гопичанд Малинели," ,Индия","2023,9 января 2023"
Волчонок: Фильм,"сверхъестественный триллер,подростковая драма",Рассел Малкэхи," ,США",
Внутри,психологический триллер,Василис Кацупис,,2023
Великий уравнитель 3,"боевик,,,триллер",Антуан Фукуа," ,США",2023
Винни-Пух: Кровь и мёд,слэшер,Рис Фрейк-Уотерфилд," ,Великобритания,[2]",2023
Великая магия,"комедийный фильм,[1],драматический фильм,[1]",Нанни Моретти," ,Италия",2023
Вдова Клико,,," ,Франция, ,Великобритания",2023
Великая ирония,"фильм-триллер,[1],комедийная драма,[1],романтический фильм,[1],комедийный триллер",Вуди Аллен," ,США, ,Франция","27 сентября, ,2023,[1],11 апреля, ,2024,[2],10 сентября, ,2023,[3],4 сентября, ,2023,[4]"
Вавилон-5: Дорога домой,"научно-фантастический фильм,[1]",Мэтт Питерс,США,2023
